,gene,pLI,oe_lof,oe_lof_lower,oe_lof_upper
306,PIEZO1,3.9379000000000006e-21,0.46437,0.373,0.581
307,EP300,1.0,0.049966,0.026,0.099
308,SS18L1,0.98229,0.13366,0.065,0.306
309,MT-CYB,[],[],[],[]
310,CEP250,9.448999999999999e-33,0.5350699999999999,0.444,0.647
311,PLEKHG1,0.012728,0.26759,0.178,0.412
312,KIF25,9.635700000000002e-07,0.75274,0.473,1.246
313,TYMP,0.00011694,0.52494,0.315,0.916
314,DNAH14,2.6938e-16,1.0717,0.77,1.517
315,GGA3,1.6701e-06,0.46691000000000005,0.311,0.719
316,TNNT3,2.0758000000000004e-07,0.62368,0.411,0.975
317,KCNH2,0.99593,0.13054000000000002,0.067,0.274
318,SLC12A2,0.9615299999999999,0.18752,0.117,0.31
319,EDEM1,1.0594000000000001e-13,0.7739,0.56,1.088
320,SUMO2,0.8694299999999999,0.0,0.0,0.45
321,CEP290,1.0548999999999998e-60,0.8366399999999999,0.713,0.985
322,GJD3,3.3471e-05,1.3004,0.678,1.903
323,METTL5,5.1688000000000004e-05,0.70009,0.41,1.262
324,TCN2,1.0478e-06,0.58497,0.38,0.93
325,EPN2,0.74755,0.18868,0.098,0.397
326,TCTN3,4.1528e-12,0.72839,0.519,1.04
327,IFT172,3.2682e-33,0.61948,0.511,0.755
328,BMP4,0.9564,0.07033099999999999,0.024,0.334
329,NEFL,[],[],[],[]
330,SOS1,1.0,0.066728,0.034,0.14
331,TMEM216,0.0018855,0.6561600000000001,0.342,1.37
332,RRM2B,0.002357,0.38716999999999996,0.226,0.699
333,NALCN,8.5243e-14,0.40247,0.313,0.522
334,RPL15,0.97146,0.0,0.0,0.272
335,MMACHC,1.1402e-13,1.2143,0.837,1.755
336,TBCK,2.0934999999999998e-15,0.6454,0.484,0.871
337,ZC4H2,0.9075200000000001,0.0,0.0,0.39
338,NACC1,0.9976299999999999,0.0,0.0,0.169
339,SRPK3,0.29235,0.23546999999999998,0.122,0.495
340,RBM10,1.0,0.023218,0.007,0.11
341,TMEM39B,0.0065082,0.34213000000000005,0.2,0.617
342,ZNF227,9.2465e-11,0.6430899999999999,0.455,0.926
343,ALDOA,0.0013228,0.41827,0.244,0.755
